ticker,per,date,time,open,high,low,close,vol,date_iso,date_to_plot
GAZP,D,060722,0000,197.78,205.78,194.44,195.42,82419920,2022-07-06,"22-07-06
00-07"
GAZP,D,070722,0000,195.42,199.47,192.36,197.92,43747570,2022-07-07,"22-07-07
00-07"
GAZP,D,080722,0000,200.0,201.87,196.57,198.0,28893760,2022-07-08,"22-07-08
00-07"
GAZP,D,110722,0000,198.0,199.43,188.79,188.9,46550690,2022-07-11,"22-07-11
00-07"
GAZP,D,120722,0000,189.15,193.0,184.0,191.4,46890990,2022-07-12,"22-07-12
00-07"
GAZP,D,130722,0000,191.22,194.0,185.3,186.0,33253510,2022-07-13,"22-07-13
00-07"
GAZP,D,140722,0000,186.37,188.1,183.11,184.55,29125140,2022-07-14,"22-07-14
00-07"
GAZP,D,150722,0000,184.6,188.9,183.22,187.61,23052570,2022-07-15,"22-07-15
00-07"
GAZP,D,180722,0000,189.0,189.5,185.52,186.7,16988830,2022-07-18,"22-07-18
00-07"
GAZP,D,190722,0000,186.0,189.6,184.6,189.51,22601570,2022-07-19,"22-07-19
00-07"
GAZP,D,200722,0000,190.0,195.8,190.0,193.3,44078600,2022-07-20,"22-07-20
00-07"
GAZP,D,210722,0000,194.65,195.45,188.0,189.59,27814900,2022-07-21,"22-07-21
00-07"
GAZP,D,220722,0000,189.0,192.95,188.6,192.25,17869300,2022-07-22,"22-07-22
00-07"
GAZP,D,250722,0000,192.6,194.65,190.56,192.0,22138550,2022-07-25,"22-07-25
00-07"
GAZP,D,260722,0000,192.0,194.49,191.2,193.95,20004890,2022-07-26,"22-07-26
00-07"
GAZP,D,270722,0000,194.5,197.5,194.1,196.49,28393430,2022-07-27,"22-07-27
00-07"
GAZP,D,280722,0000,198.0,198.79,195.0,196.25,22017040,2022-07-28,"22-07-28
00-07"
GAZP,D,290722,0000,196.25,196.8,193.5,195.26,14151520,2022-07-29,"22-07-29
00-07"
GAZP,D,010822,0000,194.5,194.69,192.0,192.0,13080650,2022-08-01,"22-08-01
00-08"
GAZP,D,020822,0000,191.56,191.68,186.8,187.16,24300060,2022-08-02,"22-08-02
00-08"
GAZP,D,030822,0000,187.51,188.97,186.31,187.04,12063310,2022-08-03,"22-08-03
00-08"
GAZP,D,040822,0000,187.0,187.22,184.3,184.9,13353850,2022-08-04,"22-08-04
00-08"
GAZP,D,050822,0000,184.7,185.62,175.75,176.58,49095300,2022-08-05,"22-08-05
00-08"
GAZP,D,080822,0000,180.0,181.82,177.25,177.86,33176870,2022-08-08,"22-08-08
00-08"
GAZP,D,090822,0000,178.0,181.38,175.2,181.04,24425460,2022-08-09,"22-08-09
00-08"
GAZP,D,100822,0000,181.04,182.33,178.53,178.81,20457670,2022-08-10,"22-08-10
00-08"
GAZP,D,110822,0000,179.49,180.63,173.51,174.1,26791740,2022-08-11,"22-08-11
00-08"
GAZP,D,120822,0000,174.5,175.88,172.29,174.36,20504730,2022-08-12,"22-08-12
00-08"
GAZP,D,150822,0000,174.01,175.5,172.4,174.8,18502690,2022-08-15,"22-08-15
00-08"
GAZP,D,160822,0000,175.5,181.61,174.7,181.3,33089780,2022-08-16,"22-08-16
00-08"
GAZP,D,170822,0000,181.9,182.49,176.4,176.5,24237120,2022-08-17,"22-08-17
00-08"
GAZP,D,180822,0000,176.3,179.37,175.5,178.87,16035660,2022-08-18,"22-08-18
00-08"
GAZP,D,190822,0000,178.78,178.9,176.6,177.6,9218560,2022-08-19,"22-08-19
00-08"
GAZP,D,220822,0000,177.4,182.2,176.88,181.7,22797150,2022-08-22,"22-08-22
00-08"
GAZP,D,230822,0000,182.39,185.8,182.1,184.3,26932120,2022-08-23,"22-08-23
00-08"
GAZP,D,240822,0000,184.7,186.66,182.19,182.83,17562350,2022-08-24,"22-08-24
00-08"
GAZP,D,250822,0000,183.0,184.6,180.8,181.9,14907210,2022-08-25,"22-08-25
00-08"
GAZP,D,260822,0000,181.7,184.2,180.5,183.62,13018100,2022-08-26,"22-08-26
00-08"
GAZP,D,290822,0000,183.15,190.0,182.65,190.0,30577150,2022-08-29,"22-08-29
00-08"
GAZP,D,300822,0000,190.45,204.2,190.45,204.0,112562060,2022-08-30,"22-08-30
00-08"
GAZP,D,310822,0000,224.4,275.96,224.4,254.9,239413560,2022-08-31,"22-08-31
00-08"
GAZP,D,010922,0000,258.0,259.85,247.62,249.11,83676830,2022-09-01,"22-09-01
00-09"
GAZP,D,020922,0000,249.68,253.95,246.22,252.8,37791570,2022-09-02,"22-09-02
00-09"
GAZP,D,050922,0000,251.0,252.11,248.55,250.0,30359680,2022-09-05,"22-09-05
00-09"
GAZP,D,060922,0000,249.99,250.2,241.0,246.0,51580940,2022-09-06,"22-09-06
00-09"
GAZP,D,070922,0000,245.8,245.8,241.55,241.55,31496650,2022-09-07,"22-09-07
00-09"
GAZP,D,080922,0000,241.55,245.3,237.84,243.95,39144110,2022-09-08,"22-09-08
00-09"
GAZP,D,090922,0000,244.48,247.2,242.16,245.34,27284440,2022-09-09,"22-09-09
00-09"
GAZP,D,120922,0000,243.99,247.0,241.06,243.3,31291710,2022-09-12,"22-09-12
00-09"
GAZP,D,130922,0000,243.9,245.29,241.8,242.64,21638060,2022-09-13,"22-09-13
00-09"
GAZP,D,140922,0000,242.29,243.39,240.0,243.32,19834970,2022-09-14,"22-09-14
00-09"
