ticker,per,date,time,open,high,low,close,vol,date_iso,date_to_plot
SBER,D,100123,0000,142.1,142.85,141.31,142.81,23718180,2023-01-10,"23-01-10
00-01"
SBER,D,110123,0000,142.97,149.98,142.87,149.96,123147040,2023-01-11,"23-01-11
00-01"
SBER,D,120123,0000,150.02,150.79,148.39,149.3,46789300,2023-01-12,"23-01-12
00-01"
SBER,D,130123,0000,149.58,153.28,147.71,151.69,88520210,2023-01-13,"23-01-13
00-01"
SBER,D,160123,0000,152.89,154.0,151.88,153.71,51753920,2023-01-16,"23-01-16
00-01"
SBER,D,170123,0000,154.0,154.31,150.01,150.45,84404770,2023-01-17,"23-01-17
00-01"
SBER,D,180123,0000,150.4,153.0,149.41,151.47,67511970,2023-01-18,"23-01-18
00-01"
SBER,D,190123,0000,151.2,152.85,148.56,149.34,66813960,2023-01-19,"23-01-19
00-01"
SBER,D,200123,0000,149.7,151.4,148.64,151.38,44254820,2023-01-20,"23-01-20
00-01"
SBER,D,230123,0000,151.9,154.1,151.01,153.5,55198870,2023-01-23,"23-01-23
00-01"
SBER,D,240123,0000,153.95,155.58,152.28,152.66,78734130,2023-01-24,"23-01-24
00-01"
SBER,D,250123,0000,152.45,153.6,151.5,152.81,43376700,2023-01-25,"23-01-25
00-01"
SBER,D,260123,0000,153.32,154.3,151.73,152.4,45513320,2023-01-26,"23-01-26
00-01"
SBER,D,270123,0000,152.4,153.48,151.69,153.2,34123690,2023-01-27,"23-01-27
00-01"
SBER,D,300123,0000,153.5,153.88,152.21,153.38,31105220,2023-01-30,"23-01-30
00-01"
SBER,D,310123,0000,153.51,158.18,153.3,158.07,77890320,2023-01-31,"23-01-31
00-01"
SBER,D,010223,0000,158.2,159.6,156.5,158.29,66332200,2023-02-01,"23-02-01
00-02"
SBER,D,020223,0000,158.4,160.29,157.37,159.45,53866380,2023-02-02,"23-02-02
00-02"
SBER,D,030223,0000,159.1,162.32,157.88,161.26,63735330,2023-02-03,"23-02-03
00-02"
SBER,D,060223,0000,161.78,167.17,161.01,167.09,89083530,2023-02-06,"23-02-06
00-02"
SBER,D,070223,0000,167.3,168.7,163.4,165.39,92661570,2023-02-07,"23-02-07
00-02"
SBER,D,080223,0000,165.0,166.35,162.7,164.15,58669030,2023-02-08,"23-02-08
00-02"
SBER,D,090223,0000,164.33,167.47,161.27,165.31,107139220,2023-02-09,"23-02-09
00-02"
SBER,D,100223,0000,165.0,166.49,164.5,165.52,40924680,2023-02-10,"23-02-10
00-02"
SBER,D,130223,0000,165.2,166.88,164.17,164.32,36212200,2023-02-13,"23-02-13
00-02"
SBER,D,140223,0000,164.3,164.38,161.64,161.86,58832960,2023-02-14,"23-02-14
00-02"
SBER,D,150223,0000,160.94,161.12,153.83,156.25,113804160,2023-02-15,"23-02-15
00-02"
SBER,D,160223,0000,157.33,159.3,156.25,158.22,68549280,2023-02-16,"23-02-16
00-02"
SBER,D,170223,0000,158.0,160.38,156.91,159.73,52179940,2023-02-17,"23-02-17
00-02"
SBER,D,200223,0000,159.41,161.3,156.73,160.09,63971610,2023-02-20,"23-02-20
00-02"
SBER,D,210223,0000,160.66,165.65,159.26,164.15,127422480,2023-02-21,"23-02-21
00-02"
SBER,D,220223,0000,164.13,164.42,162.5,163.37,43772430,2023-02-22,"23-02-22
00-02"
SBER,D,240223,0000,163.33,165.5,163.1,164.3,37727230,2023-02-24,"23-02-24
00-02"
SBER,D,270223,0000,163.52,170.0,162.96,169.95,100133280,2023-02-27,"23-02-27
00-02"
SBER,D,280223,0000,170.5,171.92,168.37,169.82,80748140,2023-02-28,"23-02-28
00-02"
