ticker,per,date,time,open,high,low,close,vol,date_iso,date_to_plot
GAZP,60,100423,1100,173.58,174.9,173.23,174.22,5594670.0,2023-04-10 11:00:00,"23-04-10
11-04"
GAZP,60,100423,1200,174.22,174.27,173.6,174.17,2139940.0,2023-04-10 12:00:00,"23-04-10
12-04"
GAZP,60,100423,1300,174.17,174.22,173.52,173.59,2519530.0,2023-04-10 13:00:00,"23-04-10
13-04"
GAZP,60,100423,1400,173.65,174.0,173.52,173.99,1574210.0,2023-04-10 14:00:00,"23-04-10
14-04"
GAZP,60,100423,1500,174.0,174.05,173.79,174.02,1158250.0,2023-04-10 15:00:00,"23-04-10
15-04"
GAZP,60,100423,1600,174.02,174.22,173.56,173.71,1215520.0,2023-04-10 16:00:00,"23-04-10
16-04"
GAZP,60,100423,1700,173.74,174.42,173.6,174.2,1633570.0,2023-04-10 17:00:00,"23-04-10
17-04"
GAZP,60,100423,1800,174.17,174.4,174.04,174.29,1324070.0,2023-04-10 18:00:00,"23-04-10
18-04"
GAZP,60,100423,1900,174.28,174.38,174.17,174.38,681100.0,2023-04-10 19:00:00,"23-04-10
19-04"
GAZP,60,100423,2000,174.38,174.68,174.28,174.45,841700.0,2023-04-10 20:00:00,"23-04-10
20-04"
GAZP,60,100423,2100,174.44,174.88,174.3,174.88,774700.0,2023-04-10 21:00:00,"23-04-10
21-04"
GAZP,60,100423,2200,174.87,174.98,174.57,174.7,739900.0,2023-04-10 22:00:00,"23-04-10
22-04"
GAZP,60,100423,2300,174.68,175.0,174.67,175.0,1110900.0,2023-04-10 23:00:00,"23-04-10
23-04"
GAZP,60,110423,0000,175.0,175.2,174.01,174.54,1947050.0,2023-04-11 00:00:00,"23-04-11
00-04"
GAZP,60,110423,1100,175.45,178.8,175.2,177.59,25009380.0,2023-04-11 11:00:00,"23-04-11
11-04"
GAZP,60,110423,1200,177.59,179.48,177.1,178.9,9846830.0,2023-04-11 12:00:00,"23-04-11
12-04"
GAZP,60,110423,1300,178.9,180.4,178.61,179.83,10984500.0,2023-04-11 13:00:00,"23-04-11
13-04"
GAZP,60,110423,1400,179.83,182.5,179.75,181.35,18747820.0,2023-04-11 14:00:00,"23-04-11
14-04"
GAZP,60,110423,1500,181.34,181.48,180.0,180.77,5497020.0,2023-04-11 15:00:00,"23-04-11
15-04"
GAZP,60,110423,1600,180.78,181.25,180.31,180.33,3204980.0,2023-04-11 16:00:00,"23-04-11
16-04"
GAZP,60,110423,1700,180.37,180.37,175.28,177.27,24077870.0,2023-04-11 17:00:00,"23-04-11
17-04"
GAZP,60,110423,1800,177.3,178.92,176.6,177.86,8027190.0,2023-04-11 18:00:00,"23-04-11
18-04"
GAZP,60,110423,1900,177.85,177.85,176.32,176.32,3333600.0,2023-04-11 19:00:00,"23-04-11
19-04"
