ticker,per,date,time,open,high,low,close,vol,date_iso,date_to_plot
SBER,D,110423,0000,217.1,222.26,216.61,222.21,84958930.0,2023-04-11,"23-04-11
00-04"
SBER,D,120423,0000,222.9,223.33,217.62,218.6,98349200.0,2023-04-12,"23-04-12
00-04"
SBER,D,130423,0000,218.62,219.7,216.67,219.22,44633200.0,2023-04-13,"23-04-13
00-04"
SBER,D,140423,0000,219.41,220.89,218.0,219.85,32580550.0,2023-04-14,"23-04-14
00-04"
SBER,D,150423,0000,219.99,222.5,218.51,221.87,43248810.0,2023-04-15,"23-04-15
00-04"
SBER,D,180423,0000,222.97,228.2,222.91,228.1,78562510.0,2023-04-18,"23-04-18
00-04"
SBER,D,190423,0000,227.89,232.76,227.05,232.66,97459980.0,2023-04-19,"23-04-19
00-04"
SBER,D,200423,0000,232.67,237.37,231.1,232.95,115494020.0,2023-04-20,"23-04-20
00-04"
SBER,D,210423,0000,233.32,236.47,229.84,236.28,85046740.0,2023-04-21,"23-04-21
00-04"
SBER,D,220423,0000,237.4,238.85,233.52,235.17,115606560.0,2023-04-22,"23-04-22
00-04"
SBER,D,250423,0000,235.09,236.4,234.1,235.1,30405040.0,2023-04-25,"23-04-25
00-04"
SBER,D,260423,0000,235.16,235.82,234.21,235.3,32063750.0,2023-04-26,"23-04-26
00-04"
SBER,D,270423,0000,235.55,235.95,234.91,235.21,24351620.0,2023-04-27,"23-04-27
00-04"
SBER,D,280423,0000,235.51,240.74,235.13,240.38,68224840.0,2023-04-28,"23-04-28
00-04"
SBER,D,290423,0000,240.86,241.58,237.66,240.38,49494960.0,2023-04-29,"23-04-29
00-04"
SBER,D,030523,0000,242.2,245.0,237.4,242.62,83246880.0,2023-05-03,"23-05-03
00-05"
SBER,D,040523,0000,242.85,242.99,234.0,235.77,76740930.0,2023-05-04,"23-05-04
00-05"
SBER,D,050523,0000,236.51,239.74,236.05,238.89,53006840.0,2023-05-05,"23-05-05
00-05"
SBER,D,060523,0000,239.19,240.66,237.3,237.7,61314710.0,2023-05-06,"23-05-06
00-05"
SBER,D,090523,0000,238.65,239.86,237.36,238.27,47676110.0,2023-05-09,"23-05-09
00-05"
SBER,D,110523,0000,216.51,227.5,215.7,227.06,154134860.0,2023-05-11,"23-05-11
00-05"
SBER,D,120523,0000,228.57,235.38,223.94,229.32,197037380.0,2023-05-12,"23-05-12
00-05"
SBER,D,130523,0000,231.05,232.47,226.15,229.29,69831820.0,2023-05-13,"23-05-13
00-05"
SBER,D,160523,0000,230.54,231.75,228.52,231.7,48873370.0,2023-05-16,"23-05-16
00-05"
SBER,D,170523,0000,232.4,232.86,229.57,230.62,36429340.0,2023-05-17,"23-05-17
00-05"
